Corpus,System,Pair,Contextual,Features,Merged,AllMinPairs,BetweenMinPairs,WithinMinPairs,AllEntropy,WithinEntropy,SegEntropy,BiphoneEntropy,HiSegTok,LoSegTok,HiSegType,LoSegType
Ge,G_VV,aA,0,1,Unmerged,306,128,178,0.000435844,0.000254049,0.003206611,0.003800174,0.023223135,0.003602526,0.016581006,0.004349116
Ge,G_VV,aB,0,1,Unmerged,142,59,83,0.000280235,9.35E-05,0.005684522,0.003562334,0.023223135,0.008746057,0.016581006,0.009175304
Ge,G_VV,uy,0,1,Unmerged,94,32,62,0.000226791,6.52E-05,0.003119651,0.002394441,0.010733661,0.005409459,0.01004069,0.005410046
Ge,G_VV,uo,0,1,Unmerged,129,74,55,0.000355383,8.70E-05,0.00542951,0.004850628,0.015823984,0.010733661,0.016648961,0.01004069
Ge,G_VV,uB,0,1,Unmerged,76,33,43,7.33E-05,5.47E-05,0.004060803,0.002159569,0.010733661,0.008746057,0.01004069,0.009175304
Ge,G_VV,uU,0,1,Unmerged,42,19,23,2.37E-05,1.16E-05,0.00568498,0.004240278,0.017519254,0.010733661,0.018869285,0.01004069
Ge,G_VV,yT,0,1,Unmerged,34,25,9,3.08E-05,1.51E-05,0.001496049,0.0012032,0.005409459,0.002502138,0.005410046,0.002479662
Ge,G_VV,oT,0,1,Unmerged,119,46,73,0.000268849,9.28E-05,0.002213678,0.002391449,0.015823984,0.002502138,0.016648961,0.002479662
Ge,G_VV,oB,0,1,Unmerged,122,64,58,0.000179373,9.96E-05,0.004847422,0.003096388,0.015823984,0.008746057,0.016648961,0.009175304
Ge,G_VV,oX,0,1,Unmerged,72,27,45,7.13E-05,3.86E-05,0.002918231,0.002263236,0.015823984,0.003791378,0.016648961,0.003500373
Ge,G_VV,oO,0,1,Unmerged,59,35,24,6.04E-05,2.09E-05,0.006511474,0.006819073,0.015823984,0.015186107,0.016648961,0.010673087
Ge,G_VV,TX,0,1,Unmerged,31,18,13,1.91E-05,5.89E-06,0.001281611,0.001157501,0.003791378,0.002502138,0.003500373,0.002479662
Ge,G_VV,TL,0,1,Unmerged,4,1,3,3.07E-06,3.00E-06,0.000873203,0.000676439,0.002502138,0.001751243,0.002479662,0.001252313
Ge,G_VV,WX,0,1,Unmerged,122,55,67,0.000114108,7.05E-05,0.003095187,0.00262341,0.018764144,0.003791378,0.016506117,0.003500373
Ge,G_VV,IY,0,1,Unmerged,58,22,36,4.76E-05,3.65E-05,0.003743611,0.004255181,0.037723912,0.003653308,0.034130024,0.004615389
Ge,G_VV,IU,0,1,Unmerged,203,95,108,0.000214428,0.00013515,0.010457417,0.009905521,0.037723912,0.017519254,0.034130024,0.018869285
Ge,G_VV,YL,0,1,Unmerged,24,11,13,1.45E-05,1.24E-05,0.00103156,0.001017904,0.003653308,0.001751243,0.004615389,0.001252313
Ge,G_VV,YU,0,1,Unmerged,135,34,101,0.00070787,0.000659721,0.002950701,0.003369989,0.017519254,0.003653308,0.018869285,0.004615389
Ge,G_VV,LO,0,1,Unmerged,40,9,31,0.000286693,0.000282097,0.001706452,0.001932152,0.015186107,0.001751243,0.010673087,0.001252313
Ge,G_VV,&O,0,1,Unmerged,208,93,115,0.000456506,0.000182422,0.009080541,0.009811464,0.032836942,0.015186107,0.033557261,0.010673087
Ge,G_VV,OU,0,1,Unmerged,79,39,40,0.000354479,0.000297722,0.006844302,0.006113941,0.017519254,0.015186107,0.018869285,0.010673087
Du,D_CC,pb,0,1,Unmerged,676,284,392,0.000388902,0.000268814,0.007671167,0.00565015,0.018068992,0.017978181,0.025393096,0.020466979
Du,D_CC,pt,0,1,Unmerged,1477,588,889,0.001140701,0.000820774,0.014693028,0.011955687,0.085060311,0.018068992,0.084236863,0.025393096
Du,D_CC,pk,0,1,Unmerged,1597,597,1000,0.000930565,0.000570766,0.010695989,0.009115371,0.036970925,0.018068992,0.038565885,0.025393096
Du,D_CC,pf,0,1,Unmerged,417,190,227,0.000270624,0.000118602,0.005615044,0.005081807,0.018068992,0.010008946,0.025393096,0.013677044
Du,D_CC,bd,0,1,Unmerged,503,241,262,0.000459313,0.000276711,0.010833489,0.008938231,0.038378382,0.017978181,0.037665054,0.020466979
Du,D_CC,bg,0,1,Unmerged,11,1,10,1.93E-06,1.72E-06,0.000466759,0.000184132,0.017978181,0.000297535,0.020466979,0.000697728
Du,D_CC,bm,0,1,Unmerged,715,318,397,0.00058927,0.000408806,0.009140369,0.006462213,0.026044951,0.017978181,0.025128712,0.020466979
Du,D_CC,bv,0,1,Unmerged,700,321,379,0.000604507,0.000329081,0.008603214,0.00693859,0.022872558,0.017978181,0.020877561,0.020466979
Du,D_CC,td,0,1,Unmerged,774,407,367,0.000944255,0.000366097,0.023490308,0.020475048,0.085060311,0.038378382,0.084236863,0.037665054
Du,D_CC,tk,0,1,Unmerged,1299,610,689,0.002005737,0.000696164,0.022979938,0.017331159,0.085060311,0.036970925,0.084236863,0.038565885
Du,D_CC,ts,0,1,Unmerged,1098,599,499,0.00124619,0.00058788,0.028626184,0.020740833,0.085060311,0.054368461,0.084236863,0.06536144
Du,D_CC,dg,0,1,Unmerged,19,5,14,3.41E-06,2.73E-06,0.000535634,0.000368222,0.038378382,0.000297535,0.037665054,0.000697728
Du,D_CC,dn,0,1,Unmerged,416,199,217,0.000514744,0.000253344,0.019630052,0.011949359,0.056334191,0.038378382,0.047823693,0.037665054
Du,D_CC,dz,0,1,Unmerged,569,304,265,0.000941573,0.0003165,0.010117812,0.007877355,0.038378382,0.016005753,0.037665054,0.01247331
Du,D_CC,kx,0,1,Unmerged,866,389,477,0.000951443,0.000439597,0.015494803,0.012543038,0.036970925,0.035851946,0.038565885,0.02834684
